Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Viridor Waste Management Ltd                                                              ,PS01470   ,2015-05-29,2015-06-05,308854    ,,5882,Corporate Buildings                                                                                                                                                                                     ,Duty of Care                                                                                                                                                                                                                                                                                                
Viridor Waste Management Ltd                                                              ,PS01470   ,2015-05-29,2015-06-05,308854    ,,5882,Corporate Buildings                                                                                                                                                                                     ,EXCH 1100 LITRE EUROBIN - COMMERCIAL WASTE                                                                                                                                                                                                                                                                  
Viridor Waste Management Ltd                                                              ,PS01470   ,2015-05-29,2015-06-05,308854    ,,5882,Public Halls                                                                                                                                                                                            ,EXCH 1100 LITRE EUROBIN - COMMERCIAL WASTE                                                                                                                                                                                                                                                                  
Viridor Waste Management Ltd                                                              ,PS01470   ,2015-05-29,2015-06-05,308854    ,,11765,Corporate Buildings                                                                                                                                                                                     ,EXCH. 1100 Litre Eurobin - Mixed Cardboard &                                                                                                                                                                                                                                                                
Viridor Waste Management Ltd                                                              ,PS01470   ,2015-05-29,2015-06-05,308854    ,,5882,Corporate Buildings                                                                                                                                                                                     ,EXCH. 240 Litre Eurobin - Commercial Waste                                                                                                                                                                                                                                                                  
Viridor Waste Management Ltd                                                              ,PS01470   ,2015-05-29,2015-06-05,308854    ,,5882,Public Halls                                                                                                                                                                                            ,EXCH. 240 Litre Eurobin - Commercial Waste                                                                                                                                                                                                                                                                  
Viridor Waste Management Ltd                                                              ,PS01470   ,2015-05-29,2015-06-05,308854    ,,5882,Corporate Buildings                                                                                                                                                                                     ,EXCH. 240 Litre Eurobin - Mixed Cardboard & P                                                                                                                                                                                                                                                               
Mitie Tilley Roofing Ltd                                                                  ,PS01462   ,2015-05-28,2015-07-03,275895    ,,10747,Industrial Sites                                                                                                                                                                                        ,Manstone Workshops - separate planned mainten                                                                                                                                                                                                                                                               
Mitie Tilley Roofing Ltd                                                                  ,PS01462   ,2015-05-28,2015-07-03,275895    ,,10747,Industrial Sites                                                                                                                                                                                        ,Riverside Workshops - separate planned mainte                                                                                                                                                                                                                                                               
Heritage Landscapes                                                                       ,PS01426   ,2015-05-13,2015-07-10,HERITAGE  ,,41675,Capital Parks And Pleasure Grn                                                                                                                                                                          ,construction of Information Kiosk at Axe Wetl                                                                                                                                                                                                                                                               
Devon Norse Ltd                                                                           ,P005599   ,2015-05-29,2016-03-31,14774P    ,,5546,Corporate Buildings                                                                                                                                                                                     ,ETH - 12 months cleaning contract for communa                                                                                                                                                                                                                                                               
South West Audit Partnership Ltd                                                          ,P005589   ,2015-05-28,2015-05-29,462372    ,,6750,Financial Services                                                                                                                                                                                      ,SWAP Compensation                                                                                                                                                                                                                                                                                           
Lex Autolease Ltd.                                                                        ,P005588   ,2015-05-27,2015-09-30,540072    ,,24977,Parks And Pleasure Grounds                                                                                                                                                                              ,Ford Transit 350 L3 Tipper                                                                                                                                                                                                                                                                                  
Lex Autolease Ltd.                                                                        ,P005587   ,2015-05-27,2015-09-30,540072    ,,23041,Parks And Pleasure Grounds                                                                                                                                                                              ,Ford Transit 350 L3 Tipper                                                                                                                                                                                                                                                                                  
Lex Autolease Ltd.                                                                        ,P005586   ,2015-05-27,2015-09-30,540072    ,,22171,Parks And Pleasure Grounds                                                                                                                                                                              ,Ford Transit 350 L3 Tipper                                                                                                                                                                                                                                                                                  
Lex Autolease Ltd.                                                                        ,P005585   ,2015-05-27,2015-09-30,540072    ,,22171,Parks And Pleasure Grounds                                                                                                                                                                              ,Ford Transit 350 L3 Tipper                                                                                                                                                                                                                                                                                  
Lex Autolease Ltd.                                                                        ,P005584   ,2015-05-27,2015-09-30,540072    ,,22171,Parks And Pleasure Grounds                                                                                                                                                                              ,Ford Transit 350 L3 Tipper                                                                                                                                                                                                                                                                                  
Lex Autolease Ltd.                                                                        ,P005583   ,2015-05-27,2015-09-30,540072    ,,20658,Parks And Pleasure Grounds                                                                                                                                                                              ,Ford Transit 350 L3 Tipper                                                                                                                                                                                                                                                                                  
Lex Autolease Ltd.                                                                        ,P005582   ,2015-05-27,2015-09-30,540072    ,,20658,Parks And Pleasure Grounds                                                                                                                                                                              ,Ford Transit 350 L3 Tipper                                                                                                                                                                                                                                                                                  
Lex Autolease Ltd.                                                                        ,P005581   ,2015-05-27,2015-09-30,540072    ,,20658,Parks And Pleasure Grounds                                                                                                                                                                              ,Ford Transit 350 L3 Tipper                                                                                                                                                                                                                                                                                  
Lex Autolease Ltd.                                                                        ,P005580   ,2015-05-27,2015-09-30,540072    ,,20658,Parks And Pleasure Grounds                                                                                                                                                                              ,Ford Transit 350 L3 Tipper                                                                                                                                                                                                                                                                                  
Homemaker (South West)                                                                    ,P005546   ,2015-05-19,2015-05-26,HOME 001  ,,6000,Hsg And Council Tax Admin                                                                                                                                                                               ,Provision of Money Advice Serices April-June                                                                                                                                                                                                                                                                
Lex Autolease Ltd.                                                                        ,P005533   ,2015-05-18,2015-09-15,540072    ,,11768,Parks And Pleasure Grounds                                                                                                                                                                              ,2015/16 Toyota Hilux Single Cab pickup                                                                                                                                                                                                                                                                      
Lex Autolease Ltd.                                                                        ,P005532   ,2015-05-18,2015-09-05,540072    ,,15550,Street Scene Support Services                                                                                                                                                                           ,2015/16 Toyota Hilux Double Cab pickup with h                                                                                                                                                                                                                                                               
Bagwells Limited                                                                          ,P005531   ,2015-05-18,2015-11-01,IF000743  ,,29525,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Pavilion - complete external redecora                                                                                                                                                                                                                                                               
The Great Outdoor Gym Company                                                             ,P005529   ,2015-05-18,2015-08-14,314961    ,,29399,Tax & Nonspecific Grant Income                                                                                                                                                                          ,Exmouth seafront energy bikes and shelter.                                                                                                                                                                                                                                                                  
Kennaway House Ltd                                                                        ,P005482   ,2015-05-06,2015-05-13,515551    ,,5633,Aonb And Countryside                                                                                                                                                                                    ,Office Rent - Kennaway                                                                                                                                                                                                                                                                                      
Wsp Uk Ltd                                                                                ,P005481   ,2015-05-06,2015-05-13,318610    ,,93831,Economic Development                                                                                                                                                                                    ,The appointment of consultants to undertake t                                                                                                                                                                                                                                                               
