Number of applications in England and Wales divided by region,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Apr-20,,,,,,,,,,,
Region,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,210,604,607,57255,114982,1310,25325,48,13037,532845,119747,865970
East Anglia,14,15,48,2671,6774,34,1331,7,890,21666,4128,37578
East Midlands,21,16,55,4776,10388,55,2139,0,1070,37397,6916,62833
Greater London,4,276,34,7860,16268,202,4077,36,1658,112533,26889,169837
Isles of Scilly,0,0,0,0,1,0,1,0,1,12,5,20
North,10,19,40,2869,5099,63,992,0,623,22569,4561,36845
North West,25,27,51,6516,15835,103,3300,0,1675,58852,13041,99425
South East,40,142,135,13513,24932,465,6146,3,2560,127244,31848,207028
South West,37,53,92,5643,10407,161,2483,0,1605,47855,11395,79731
Wales,22,7,45,2999,5535,64,866,0,801,22396,4593,37328
West Midlands,17,29,55,5352,9559,92,2220,0,1180,43824,8310,70638
Yorks & Humber,20,20,52,5056,10184,71,1770,2,974,38496,8024,64669
England & Wales (not assigned),0,0,0,0,0,0,0,0,0,1,37,38
