Transparency Report March 2019 -  Spend over £25k,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,04/03/2019,Temporary Staff,Corporate Transactions,Alexander Mann Solutions Ltd,830612,"65,527.68",Contingent Labour
Department of Education,OFSTED,04/03/2019,Temporary Staff,Corporate Transactions,Alexander Mann Solutions Ltd,830613,"56,612.59",Contingent Labour
Department of Education,OFSTED,04/03/2019,Temporary Staff,Corporate Transactions,Alexander Mann Solutions Ltd,830619,"31,115.32",Contingent Labour
Department of Education,OFSTED,25/03/2019,Temporary Staff,Corporate Transactions,Alexander Mann Solutions Ltd,830868,"47,063.90",Contingent Labour
Department of Education,OFSTED,27/03/2019,Managed Services,Technology,CACI Ltd,830901,"120,290.00",ICT Support
Department of Education,OFSTED,25/03/2019,Managed Services,Technology,CACI Ltd,830876,"41,600.00",ICT Support
Department of Education,OFSTED,20/03/2019,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,830768,"39,355.51",Meeting and Conferencing Service
Department of Education,OFSTED,21/03/2019,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,830839,"69,441.98",Meeting and Conferencing Service
Department of Education,OFSTED,13/03/2019,Managed Services,Technology,CGI IT UK Ltd,830724,"68,221.09",ICT Support
Department of Education,OFSTED,29/03/2019,Managed Services,Technology,CGI IT UK Ltd,830961,"68,221.09",ICT Support
Department of Education,OFSTED,06/03/2019,Corporate Transactions,Corporate Transactions,Corporate Travel Management,830624,"370,887.31",Travel and Overnight Accommodation
Department of Education,OFSTED,06/03/2019,Professional Services,Finance and Resources,Deloitte & Touche LLP,830647,"29,000.00",Professional Services
Department of Education,OFSTED,29/03/2019,Accommodation Rent,Finance and Resources,Gva Grimley,830950,"103,317.00",Accommodation Rent and Service Charge
Department of Education,OFSTED,29/03/2019,Accommodation Rent,Finance and Resources,Gva Grimley,830951,"102,232.13",Accommodation Rent and Service Charge
Department of Education,OFSTED,29/03/2019,Managed Services,Digital Services,Informed Solutions Ltd,830941,"72,350.00",Digital Communications
Department of Education,OFSTED,27/03/2019,Accommodation Service Charge,Finance and Resources,M J Mapp Ltd,830899,"41,835.46",Accommodation Rent and Service Charge
Department of Education,OFSTED,27/03/2019,Accommodation Service Charge,Finance and Resources,M J Mapp Ltd,830900,"55,656.82",Accommodation Rent and Service Charge
Department of Education,OFSTED,27/03/2019,Accommodation Service Charge,Finance and Resources,Ministry of Justice,830896,"336,936.44",Accommodation Rent and Service Charge
Department of Education,OFSTED,27/03/2019,Accommodation Service Charge,Finance and Resources,Ministry of Justice,830896,"142,772.90",Accommodation Rent and Service Charge
Department of Education,OFSTED,27/03/2019,Building Maintenance,Property Division,Ministry of Justice,830896,"55,183.84",Building Maintenance
Department of Education,OFSTED,27/03/2019,Accommodation Service Charge,Finance and Resources,Ministry of Justice,830897,"335,290.51",Accommodation Rent and Service Charge
Department of Education,OFSTED,27/03/2019,Accommodation Service Charge,Finance and Resources,Ministry of Justice,830897,"57,591.29",Accommodation Rent and Service Charge
Department of Education,OFSTED,27/03/2019,Accommodation Service Charge,Finance and Resources,Ministry of Justice,830897,"152,947.62",Accommodation Rent and Service Charge
Department of Education,OFSTED,06/03/2019,Accommodation Service Charge,Finance and Resources,Ministry of Justice,830636,"419,231.93",Accommodation Rent and Service Charge
Department of Education,OFSTED,06/03/2019,Accommodation Service Charge,Finance and Resources,Ministry of Justice,830636,"155,971.96",Accommodation Rent and Service Charge
Department of Education,OFSTED,06/03/2019,Building Maintenance,Property Division,Ministry of Justice,830636,"217,125.47",Building Maintenance
Department of Education,OFSTED,06/03/2019,Accommodation Service Charge,Finance and Resources,Ministry of Justice,830636,"29,901.88",Accommodation Rent and Service Charge
Department of Education,OFSTED,27/03/2019,Accommodation Service Charge,Finance and Resources,Nottingham City Council,830919,"50,904.00",Accommodation Rent and Service Charge
Department of Education,OFSTED,29/03/2019,Accommodation Service Charge,Finance and Resources,Nottingham City Council,830988,"40,507.50",Accommodation Rent and Service Charge
Department of Education,OFSTED,26/03/2019,Managed Services,External Relations,Public First Ltd,830889,"44,640.00",Professional Services
Department of Education,OFSTED,27/03/2019,Managed Services,Portfolios & Projects,Rainmaker Solutions Limited,830929,"48,800.00",ICT Support
Department of Education,OFSTED,27/03/2019,Managed Services,"Quality, Complaints & Training",Rainmaker Solutions Limited,830924,"35,537.50",ICT Support
Department of Education,OFSTED,02/04/2019,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland ,135,"49,008.42",Corporate Purchasing Card
Department of Education,OFSTED,25/03/2019,Managed Services,Technology,Softcat Ltd,830871,"32,832.00",ICT Support
Department of Education,OFSTED,05/03/2019,Information Services,Technology,Software Box Ltd,830627,"37,232.26",ICT Support
Department of Education,OFSTED,22/03/2019,Professional Services,Research and Evaluation,The University Of Birmingham,830843,"49,988.00",Professional Services
Department of Education,OFSTED,27/03/2019,Managed Services,Technology,UNIT 4 Business Software Ltd CODA Di,830911,"60,336.23",ICT Support
Department of Education,OFSTED,11/03/2019,Managed Services,Technology,XMA Limited,830699,"70,517.74",ICT Support
