Spend over £25k - September 2017,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,18/09/2017,Managed Services,Information Services,Always On Ltd,824982,"£26,017.20",ICT Support
Department of Education,OFSTED,12/09/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,824919,"£28,966.51",Contingent Labour
Department of Education,OFSTED,26/09/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825058,"£34,710.70",Contingent Labour
Department of Education,OFSTED,18/09/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,824967,"£35,429.38",Contingent Labour
Department of Education,OFSTED,01/09/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,824819,"£35,605.20",Contingent Labour
Department of Education,OFSTED,05/09/2017,Managed Services,Information Services,CACI Ltd,824864,"£29,275.00",ICT Support
Department of Education,OFSTED,07/09/2017,Managed Services,Information Services,CACI Ltd,824877,"£31,320.00",ICT Support
Department of Education,OFSTED,05/09/2017,Managed Services,Information Services,CACI Ltd,824865,"£42,600.00",ICT Support
Department of Education,OFSTED,07/09/2017,Managed Services,Information Services,CACI Ltd,824889,"£86,430.00",ICT Support
Department of Education,OFSTED,12/09/2017,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,824921,"£38,856.85",Meeting and Conferencing Service
Department of Education,OFSTED,19/09/2017,Managed Services,Information Services,CGI IT UK Ltd,824988,"£26,934.10",ICT Support
Department of Education,OFSTED,19/09/2017,Managed Services,Information Services,CGI IT UK Ltd,824990,"£81,067.91",ICT Support
Department of Education,OFSTED,06/09/2017,Managed Services,Information Services,Data Continuity Group Limited,824875,"£27,779.40",ICT Support
Department of Education,OFSTED,22/09/2017,Corporate Transactions,Corporate Transactions,Etc Venues Ltd,825037,"£25,586.40",Meeting and Conferencing Service
Department of Education,OFSTED,01/09/2017,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,824820,"£38,653.81",Accommdation Rent and Service Charge
Department of Education,OFSTED,01/09/2017,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,824791,"£60,291.52",Accommdation Rent and Service Charge
Department of Education,OFSTED,01/09/2017,Accommodation Service Charge,Finance and Resources,Food Standards Agency,824762,"£56,044.76",Accommodation Rent and Service Charge
Department of Education,OFSTED,05/09/2017,Accommodation Service Charge,Finance and Resources,Gva Grimley,824862,"£123,926.13",Accommdation Rent and Service Charge
Department of Education,OFSTED,05/09/2017,Accommodation Service Charge,Finance and Resources,Gva Grimley,824861,"£124,462.00",Accommdation Rent and Service Charge
Department of Education,OFSTED,25/09/2017,Managed Services,Communications,Informed Solutions Ltd,825047,"£25,900.00",Digital Communications
Department of Education,OFSTED,20/09/2017,Managed Services,Communications,Informed Solutions Ltd,824996,"£44,625.00",Digital Communications
Department of Education,OFSTED,20/09/2017,Managed Services,Communications,Informed Solutions Ltd,824997,"£52,700.00",Digital Communications
Department of Education,OFSTED,13/09/2017,Managed Services,Information Services,LIVEWORK STUDIO LTD,824938,"£61,600.00",ICT Support
Department of Education,OFSTED,13/09/2017,Information Services,Information Services,Rainmaker Solutions Limited,824936,"£74,580.00",ICT Support
Department of Education,OFSTED,05/09/2017,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,824850,"£181,399.30",Travel and Overnight Accommodation
Department of Education,OFSTED,06/09/2017,Information Services,Information Services,SmartSurvey Ltd,824874,"£29,040.00",ICT Support
