Spend over £25k - January 2016 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,25/01/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818080,"£42,116.51",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,05/01/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817875,"£41,767.85",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,05/01/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817876,"£40,445.07",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,08/01/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817925,"£40,277.28",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,18/01/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818031,"£36,729.77",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,06/01/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817886,"£30,308.52",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,14/01/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817981,"£29,870.59",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,25/01/2016,Managed Services,Information Services,Bytes Software Services Ltd,818091,"£66,131.02",ICT Support,KT22 7TW,Programme Class
Department of Education,OFSTED,15/01/2016,ICT Systems,Information Services,CACI Ltd,818015,"£50,592.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,26/01/2016,ICT Systems,Information Services,CACI Ltd,818106,"£41,076.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,15/01/2016,ICT Systems,Information Services,CACI Ltd,817996,"£29,070.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,25/01/2016,Travel,Corporate Transactions,Calder Conferences Ltd,818088,"£62,471.49",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,15/01/2016,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,818018,"£36,785.75",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,15/01/2016,Accommodation Service Charge,Finance and Resources,Food Standards Agency,818012,"£64,669.71",Accomodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,07/01/2016,Accommodation Service Charge,Finance and Resources,Gva Grimley,817834,"£120,699.98",Accomodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,15/01/2016,ICT Commodities,Information Services,IBM United Kingdom Ltd,817995,"£30,729.60",Software Licences,PO6 3AE,Admin Class
Department of Education,OFSTED,11/01/2016,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,817943,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,14/01/2016,Travel,Corporate Transactions,Redfern Travel Ltd,817982,"£303,615.28",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
