Spend over £25k - July 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type ,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,08/07/2016,Contracted Inspection Costs,ISP Contracts,Prospects Learning Services Lt,820011,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,07/07/2016,Travel,Finance and Resources,Redfern Travel Ltd,819994,"£387,980.52",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,07/07/2016,Travel,Finance and Resources,Redfern Travel Ltd,819993,"£385,959.97",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,12/07/2016,Accommodation Service Charge,Finance and Resources,Food Standards Agency,820028,"£316,835.93",Accommodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,25/07/2016,Managed Services,Information Services,CGI IT UK Ltd,820132,"£277,734.08",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,18/07/2016,ICT Systems,Information Services,CACI Ltd,820061,"£221,760.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,13/07/2016,ICT Systems,Information Services,CACI Ltd,820033,"£77,160.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,25/07/2016,Managed Services,Information Services,CGI IT UK Ltd,820135,"£72,962.99",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,15/07/2016,ICT Systems,Information Services,CACI Ltd,820054,"£68,328.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,28/07/2016,Accommodation Service Charge,Finance and Resources,Food Standards Agency,820172,"£59,143.38",Accommodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,28/07/2016,Managed Services,Information Services,Intelecom UK,820154,"£48,000.00",ICT Support,SL1 1PL,Programme Class
Department of Education,OFSTED,05/07/2016,Corporate Transactions,Finance and Resources,Royal Bank of Scotland,101,"£38,570.16",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,12/07/2016,Corporate Contracts,Finance and Resources,Enterprise Rent-a-Car,820027,"£36,122.02",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,01/07/2016,Managed Services,Inspection Data & Insight,RM Education,819903,"£33,307.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,22/07/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820119,"£30,012.47",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,08/07/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820008,"£29,317.42",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,07/07/2016,Travel,Corporate Transactions,Calder Conferences Ltd,819985,"£29,216.71",Meetings and Events,LS16 6RF,Programme Class
Department of Education,OFSTED,06/07/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,819977,"£29,114.29",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,01/07/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,819905,"£28,111.61",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,06/07/2016,Managed Services,Information Services,CGI IT UK Ltd,819965,"£27,500.32",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,19/07/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820072,"£27,158.10",Contingent Labour,AL1 4ZX,Admin Class
